,Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2021,CD_code
31,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,92,96,297,315,149,231,118
32,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,88.7,49.5,30.8,118
33,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,"3,053","1,704","1,061",118
34,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,51,6,22,,,,118
35,BK 18,Flatlands/Canarsie,Housing Market and Conditions,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.6%,48.5%,26.7%,32.6%,,118
36,BK 18,Flatlands/Canarsie,Housing Market and Conditions,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,39.4%,1.3%,15.2%,8.4%,,118
37,BK 18,Flatlands/Canarsie,Housing Market and Conditions,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,38.8%,2.9%,3.9%,0.8%,,118
38,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,47.6,16.8,22.7,17.9,,118
39,BK 18,Flatlands/Canarsie,Housing Market and Conditions,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,0.8%,5.6%,0.0%,0.0%,,118
40,BK 18,Flatlands/Canarsie,Housing Market and Conditions,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,2.9%,1.0%,7.3%,5.7%,,118
41,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,91.9,21.8,28.7,53.1,,118
42,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,808,750,311,301,293,368,118
43,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,911,971,303,313,248,295,118
44,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,2,3,1,4,0,1,118
45,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,71,74,63,64,32,66,118
46,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,"1,792","1,798",678,682,573,730,118
47,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Median sales price per unit, 1 family building (2021$)",The median price per unit for one unit buildings.,,"$597,650","$513,340","$646,260","$671,560","$700,000",118
48,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Median sales price per unit, 2-4 family building (2021$)",The median price per unit for two- to four-unit buildings.,,"$364,220","$288,220","$359,910","$371,290","$410,000",118
49,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Median sales price per unit, 5+ family building (2021$)",The median price per unit for multifamily buildings.,,"$113,270","$123,250","$225,560",,"$81,130",118
50,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Median sales price per unit, condominium (2021$)",The median price per unit for condominiums.,,"$413,890","$436,880","$420,330","$423,600","$426,000",118
51,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,207.4,186.4,258.9,284.1,284.0,118
52,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,216.6,167.9,233.1,254.6,264.2,118
53,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,299.4,442.1,747.1,,,118
54,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,207.3,141.5,221.3,211.6,234.1,118
55,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,213.4,175.1,247.9,267.8,273.2,118
56,BK 18,Flatlands/Canarsie,Land Use and Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,16.7,16.6,16.1,,,118
57,BK 18,Flatlands/Canarsie,Land Use and Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,129,0,23,24,12,,118
58,BK 18,Flatlands/Canarsie,Land Use and Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,134,238,54,25,8,,118
59,BK 18,Flatlands/Canarsie,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",46.6%,52.4%,50.2%,52.1%,,,118
60,BK 18,Flatlands/Canarsie,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,46.7,43.9,41.3,52.2,,,118
61,BK 18,Flatlands/Canarsie,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,15.2,12.2,7.9,8.1,7.5,118
62,BK 18,Flatlands/Canarsie,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,10.6,8.2,5.4,5.2,4.7,118
63,BK 18,Flatlands/Canarsie,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,4.6,3.9,2.4,2.9,2.8,118
64,BK 18,Flatlands/Canarsie,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,49.7%,,,118
